nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
예민한청운,핏이 딱 적당하고 가격대비 가성비가 너무 좋아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
김씨의 패션,제가 팔이 긴 편이라 팔길이가 조금 짧아 아쉬웠지만 그것말고는 다 괜찮았습니다 !,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
무스탕.,"재질도 딱 좋고 편합니다 역시 무탠다드...
셋업으로 맞췄는데 완전깔끔하니 좋아요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
준자씨,"틀포티의 올블랙 셋업으로 최고의 선택입니다.
조문시 잘 입을게요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
lsk416,배송빠르고 가을에 입기 너무 좋을것같습니당 입던옷이낡았는데 잘입을게요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
상훈2다,"이뻐요 굿입니다.
이가격에 이쁜템 잘구했네요 굿",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
효르미온느,신랑이 조금 차려입어야 하는 자리에 툭 걸치기 좋다네요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
효르미온느,"휘뚜루마뚜루 어디서든 툭 걸칠 수 있어요.
신랑이 좋아합니다♡",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
네키군,"정장세트가 급하게필요한데 할인이 빡세게 들어가서 바로 구매
언제나 가성비 넘칩니다!",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
오거거,셋업으로 입으려고 구매했는데 재질도 좋고 사이즈도 잘 맞아요 가성비 좋게 구매했네요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
오거거,셋업으로 입으려고 구매했는데 재질도 좋고 사이즈도 잘 맞아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
주랄이,오프라인 매장에서 입어보고 주문했어요. XL로 입으니 베이직한 스타일에 릴렉스핏으로 여유있는 핏이 나오네요. L은 얇은 니트 착용 시 타이트하더라구요. 캐쥬얼하게도 격식있는 자리에도 잘 어울릴꺼같아서 너무 맘에 듭니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
주랄이,"오프라인 매장에서 입어보고 주문했어요.
XL로 입으니 베이직한 스타일에 릴렉스핏으로 여유있는 핏이 나오네요. L은 얇은 니트 착용 시 타이트하더라구요.
캐쥬얼하게도 격식있는 자리에도 잘 어울릴꺼같아서",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
코리아옴므,"너무 포멀한 느낌이 안 나고, 너무 캐쥬얼 하지 않은 제품을 찾고 있었는데 딱 이 상품이 제격이네요.
색상도 핏도 만족스럽습니다.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
코리아옴므,"너무 포멀한 느낌이 안 나고, 너무 캐쥬얼하지 않은 제품을 찾고 있었는데 딱 이 상품이 제격이더라구요. 색상도 핏도 너무 만족스럽습니다.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
컬러풀한송파재킷,아무런 기대감 없이 주문을 걸어서 실착용해보니 핏도 편하고 매우 매우 만족합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
컬러풀한송파재킷,"아무런 기대감 없이 주문했는데
착용감 핏이 매우 매우 만족합니다",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
17720009,면접 때문에 급하게 구입했는데 가성비로 너무 좋습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
호디s,"이런 가격에 이런 퀄리티라니, 다른색상도 구매각입니다",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
아기새보노보노,핏도 좋고 제가 찾던 블레이저 입니다 ㅎㅎ 다른색상도 사려구요!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
민첩한영국더비,핏도 딱 알맞고 기장 소매 옷감 재질 모두 만족합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
T.stark,정장입을일이 일년에 몇번없는데 나이먹고 체형도 바뀌고해서 급하게 구매했는데 여유있게 잘맞고 가성비도 좋네요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
고상한쿠바패션쇼,질이좋고 부담스러운 디자인이 아니라 좋아요 데일리로도 괜찮을것같아요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
주완띠,세일할때 착한가격으로 잘 샀습니다 잘 입을게요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
bhw0609,무난하고 정석적인 블레이저입니다 실패할 수 없고 매우만족입니다!!,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
걸어다니는큰손,포장 상태나 옷걸이 동봉 되있는 점이 좋았고 생각보다 얇지 않아서 더 좋른 것 같아요,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
we23212,오프라인이 온라인보다 비쌈 ㅜ 핏은 예뻐서 좋아요,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
낮은애틀랜타큐빅,남친선물로 줬는데 슬림핏으로 딱맞고 좋습니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
뻔뻔한동대문찢청,"첫구매로 저렴하게 구매했는데 핏도 딱 좋고 
재질도 고급스러워요 같이 구매한 슬랙스와도
찰떡이에요 행사때도 데일리로도 손색없고 모두",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
패쎠니스타,가볍게 격식차리고 입기 좋네요 깔끔하고 핏좋습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
SHINDABI,제품은 다른 색이 마음에 들어서 블랙도 산건데 검수는 조금 더 꼼꼼히 해주셨으면 좋겠어요 분필 같은게 다 묻어서 왔네요,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
다이아야,"다 좋았습니다 
핏 재질 등등 데일리로 잘입을게요.",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
스윗한블랙더비,결혼식때문에 급하게 주문했는데 잘 맞았습니다 꽉 끼는 느낌이 아니라서 편했어요,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
